2026-09-11	Holger Mann	SPD	21/94	65	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsident Omid Nouripour		21/94	65	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vielen Dank. Holger Mann	SPD	21/94	65	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsident Omid Nouripour		21/94	65	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Holger Mann	SPD	21/94	65	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsident Omid Nouripour		21/94	65	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Holger Mann	SPD	21/94	65	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsident Omid Nouripour		21/94	65	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Dr. Andrea Lübcke	BÜNDNIS 90/DIE GRÜNEN	21/94	65	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsident Omid Nouripour		21/94	67	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Sonja Lemke	Die Linke	21/94	67	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsident Omid Nouripour		21/94	68	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Stephan Albani	CDU/CSU	21/94	68	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsident Omid Nouripour		21/94	69	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Dr. Christoph Birghan	AfD	21/94	69	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsident Omid Nouripour		21/94	71	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Maja Wallstein	SPD	21/94	71	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsident Omid Nouripour		21/94	73	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Maja Wallstein	SPD	21/94	73	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsident Omid Nouripour		21/94	73	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Maja Wallstein	SPD	21/94	73	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsident Omid Nouripour		21/94	73	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Adam Balten	AfD	21/94	73	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Vizepräsident Omid Nouripour		21/94	74	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
2026-09-11	Carsten Körber	CDU/CSU	21/94	74	Tagesordnungspunkt 3 (Fortsetzung): a) Erste Beratung des von der Bundesregierung eingebra
